rank ,name ,revenues,revenue_percent_change,profits,profits_percent_change,assets,market_value,change_in_rank,employees
351,Thrivent Financial for Lutherans,10312.7,26.5,2530.2,297.2,116524.8,,18.0,3256.0
352,Molson Coors Beverage,10279.7,6.5,1005.7,,27619.0,11631.8,-38.0,16300.0
353,Interpublic Group,10240.7,13.0,952.8,171.4,19909.2,13965.9,-19.0,55600.0
354,Weyerhaeuser,10201.0,35.4,2607.0,227.1,17652.0,28315.0,33.0,9214.0
355,Altice USA,10090.8,2.0,990.3,127.0,33215.0,5674.1,-49.0,9000.0
356,Raymond James Financial,9910.0,21.3,1403.0,71.5,61891.0,22817.5,11.0,15000.0
357,EMCOR Group,9903.6,12.6,383.5,188.5,5441.4,5931.8,-13.0,34000.0
358,Eversource Energy,9863.1,10.8,1220.5,1.3,48492.1,30403.2,-20.0,9227.0
359,Yum China Holdings,9853.0,19.2,990.0,26.3,13223.0,17679.0,4.0,298500.0
360,Asbury Automotive Group,9837.7,37.9,532.4,109.3,8002.6,3714.8,45.0,14200.0
361,Owens & Minor,9785.3,12.4,221.6,641.8,3536.6,3375.6,-16.0,17300.0
362,Public Service Enterprise Group,9722.0,1.2,648.0,-134.0,48999.0,35145.5,-44.0,12684.0
363,United Rentals,9716.0,13.9,1386.0,55.7,20292.0,25643.3,-11.0,20400.0
364,MGM Resorts International,9680.1,87.5,1254.4,,40899.1,18257.9,153.0,60500.0
365,Ryder System,9663.0,14.8,519.0,,13834.3,4055.4,-8.0,42800.0
366,Intuit,9633.0,25.4,2062.0,12.9,15516.0,135987.6,14.0,17350.0
367,Cincinnati Financial,9629.7,27.8,2945.6,142.2,31386.7,21813.3,19.0,5166.0
368,Erie Insurance Group,9619.7,11.0,1130.1,-3.7,27297.3,,-21.0,5805.0
369,Univar Solutions,9535.5,15.4,460.6,770.7,6777.8,5459.8,-7.0,9450.0
370,Huntington Ingalls Industries,9524.0,1.7,544.0,-21.8,10627.0,7991.0,-43.0,44000.0
371,W.R. Berkley,9455.5,16.7,1022.5,92.7,32086.4,17658.8,1.0,7681.0
372,Western & Southern Financial Group,9441.7,17.2,361.2,76.7,62876.7,,2.0,2538.0
373,Insight Enterprises,9436.1,13.1,219.3,27.1,4689.1,3745.1,-13.0,11624.0
374,News Corp.,9358.0,3.9,330.0,,16771.0,13127.7,-37.0,24000.0
375,American Tower,9356.9,16.4,2567.7,51.9,69887.9,114527.4,0.0,6378.0
376,Old Republic International,9341.6,30.4,1534.3,174.7,24981.8,7972.8,25.0,9600.0
377,Burlington Stores,9322.3,61.7,408.8,,7089.5,12112.8,94.0,38599.0
378,Avis Budget Group,9313.0,72.4,1285.0,,22600.0,14157.0,120.0,18500.0
379,ODP,9267.0,-4.6,208.0,,4865.0,2222.2,-67.0,26000.0
380,VF,9238.8,-21.0,407.9,-40.0,13754.0,22112.9,-117.0,33600.0
381,Bed Bath & Beyond,9233.0,-17.3,150.8,,6456.9,2170.5,-101.0,37600.0
382,Seaboard,9229.0,29.5,570.0,101.4,7503.0,4881.6,24.0,13200.0
383,First American Financial,9221.0,30.1,1241.0,78.2,16451.0,7087.2,26.0,22233.0
384,Intercontinental Exchange,9168.0,11.2,4058.0,94.3,193502.0,74044.8,-19.0,8858.0
385,PVH,9154.7,28.4,952.3,,12396.8,5210.0,19.0,25000.0
386,Apollo Global Management,9124.0,332.2,1838.5,1073.9,30501.9,37194.0,552.0,2153.0
387,Jefferies Financial Group,9039.9,30.0,1674.4,116.0,60404.1,7933.9,32.0,5556.0
388,Hershey,8971.3,10.1,1477.5,15.5,10412.2,44461.5,-18.0,17805.0
389,NVR,8970.1,18.6,1236.7,37.2,5834.5,15010.5,-6.0,6600.0
390,Foot Locker,8958.0,18.7,893.0,176.5,8135.0,2850.0,-5.0,33244.0
391,Dana,8945.0,25.9,197.0,,7632.0,2544.4,17.0,40200.0
392,SpartanNash,8931.0,-4.5,73.8,-2.8,2206.8,1185.1,-63.0,13300.0
393,Olin,8910.6,54.8,1296.7,,8517.7,8062.0,79.0,7750.0
394,Chewy,8890.8,24.4,73.8,,2086.3,17147.3,9.0,21300.0
395,Jackson Financial,8848.0,,3183.0,,375484.0,3895.1,0.0,3150.0
396,Activision Blizzard,8803.0,8.9,2699.0,22.8,25056.0,62559.7,-23.0,9800.0
397,Toll Brothers,8790.4,24.2,833.6,86.7,11537.9,5515.4,14.0,5100.0
398,Carlyle Group,8782.1,199.3,2974.7,754.3,21250.4,17427.5,360.0,1850.0
399,Graybar Electric,8767.3,20.7,262.4,115.4,3069.0,,0.0,8800.0
400,Ovintiv,8658.0,42.2,1416.0,,14055.0,13987.5,58.0,1713.0
401,UFP Industries,8636.1,67.6,535.6,117.1,3245.3,4790.5,117.0,15000.0
402,Ulta Beauty,8630.9,40.3,985.8,460.7,4764.4,20837.8,49.0,28500.0
403,Constellation Brands,8614.9,3.3,1998.0,,27104.8,43763.5,-44.0,9300.0
404,Expedia Group,8598.0,65.4,12.0,,21548.0,30476.5,111.0,14800.0
405,CommScope Holding,8586.7,1.8,462.6,,13259.5,1629.7,-49.0,30000.0
406,Celanese,8537.0,51.0,1890.0,-4.8,11975.0,15434.1,71.0,8529.0
407,Global Payments,8523.8,14.8,965.5,65.2,45279.7,38545.6,-13.0,25000.0
408,Owens Corning,8498.0,20.5,995.0,,10015.0,9064.7,5.0,20000.0
409,Campbell Soup,8476.0,-6.3,1002.0,-38.5,11734.0,13446.9,-74.0,14100.0
410,Huntsman,8453.0,40.3,1045.0,1.1,9392.0,8046.9,50.0,9000.0
411,Franklin Resources,8425.5,51.4,1831.2,129.2,24168.4,14019.3,73.0,10300.0
412,Avery Dennison,8408.3,20.6,740.1,33.1,7971.6,14327.4,5.0,36000.0
413,Masco,8375.0,14.9,410.0,-66.5,5575.0,12062.7,-15.0,20000.0
414,CenterPoint Energy,8352.0,-5.5,1486.0,,37679.0,19285.8,-72.0,9418.0
415,Fifth Third Bancorp,8329.0,-0.9,2770.0,94.1,211116.0,29511.3,-57.0,19112.0
416,WEC Energy Group,8316.0,14.8,1300.3,8.4,38988.5,31483.5,-16.0,6938.0
417,S&P Global,8297.0,11.5,3024.0,29.3,15026.0,142343.5,-24.0,22850.0
418,FM Global,8274.6,21.7,2842.4,64.1,32160.5,,5.0,5560.0
419,Polaris,8252.0,16.1,493.9,295.8,5047.8,6264.1,-12.0,16000.0
420,Williams-Sonoma,8245.9,21.6,1126.3,65.5,4625.6,10376.0,5.0,16600.0
421,Autoliv,8230.0,10.5,435.0,132.7,7537.0,6691.1,-29.0,58176.0
422,Arthur J. Gallagher,8209.4,17.2,906.8,10.7,33345.0,36598.6,-6.0,39000.0
423,Motorola Solutions,8171.0,10.2,1245.0,31.2,12189.0,40555.9,-28.0,18700.0
424,Zillow Group,8147.4,143.9,527.8,,10695.5,12287.1,268.0,8005.0
425,Opendoor Technologies,8021.0,210.5,662.0,,9506.0,5364.1,394.0,2816.0
426,J.M. Smucker,8002.7,2.6,876.3,12.4,16284.2,14686.4,-48.0,7100.0
427,Anywhere Real Estate,7983.0,28.3,343.0,,7210.0,1852.1,18.0,9748.0
428,Oshkosh,7952.5,16.0,409.4,26.2,6721.8,6703.7,-6.0,15000.0
429,MasTec,7951.8,25.8,328.8,1.9,7121.4,6657.0,12.0,27000.0
430,GXO Logistics,7940.0,,153.0,,7271.0,8193.0,0.0,97500.0
431,APA,7928.0,84.0,973.0,,13303.0,14332.3,164.0,2253.0
432,Boise Cascade,7926.1,44.8,712.5,307.2,2572.6,2740.4,61.0,6130.0
433,Dover,7907.1,18.3,1123.8,64.4,10403.6,22610.3,-4.0,25000.0
434,Genworth Financial,7882.0,-9.0,904.0,407.9,99171.0,1917.9,-86.0,2500.0
435,Bath & Body Works,7881.5,-33.5,1333.5,57.9,6026.0,11419.9,-178.0,32850.0
436,Booz Allen Hamilton Holding,7858.9,5.3,609.0,26.2,5499.6,11705.4,-45.0,27700.0
437,Coinbase Global,7839.4,513.7,3624.1,1024.4,21274.4,41670.4,0.0,3730.0
438,Zimmer Biomet Holdings,7836.2,11.6,401.6,,23456.4,26772.3,-24.0,19500.0
439,Westinghouse Air Brake Technologies,7822.0,3.5,558.0,34.7,18454.0,17819.4,-55.0,25000.0
440,Zoetis,7776.0,16.5,2037.0,24.4,13900.0,89008.9,-9.0,12100.0
441,Packaging Corp. of America,7730.3,16.1,841.1,82.5,7836.8,14628.1,-8.0,15200.0
442,LPL Financial Holdings,7720.8,31.5,459.9,-2.7,7991.6,14608.8,24.0,5919.0
443,T. Rowe Price,7671.9,23.6,3082.9,29.9,12509.0,34442.6,4.0,7529.0
444,Fortune Brands Home & Security,7656.1,25.7,772.4,39.6,7936.2,9830.7,12.0,28056.0
445,Casey's General Stores,7654.2,-5.6,312.9,18.6,4460.3,7354.4,-74.0,27583.0
446,A-Mark Precious Metals,7613.0,39.4,159.6,423.2,1191.6,890.5,49.0,347.0
447,Hess,7583.0,57.8,559.0,,20515.0,33155.2,96.0,1545.0
448,Vertex Pharmaceuticals,7574.4,22.1,2342.1,-13.6,13432.5,66436.9,0.0,3900.0
449,KeyCorp,7561.0,3.1,2625.0,95.5,186346.0,20592.5,-53.0,16974.0
450,Chipotle Mexican Grill,7547.1,26.1,653.0,83.5,6653.0,44347.4,14.0,97660.0
451,CMS Energy,7538.0,12.8,1353.0,79.2,28753.0,20292.2,-21.0,8813.0
452,Arconic,7504.0,32.2,397.0,,6580.0,2690.7,24.0,13900.0
453,Taylor Morrison Home,7501.3,22.4,663.0,172.4,8727.8,3301.6,-1.0,3000.0
454,American Financial Group,7462.0,-5.7,1995.0,172.5,28931.0,12367.8,-78.0,6600.0
455,UGI,7447.0,13.5,1467.0,175.8,16723.0,7599.1,-19.0,11300.0
456,Science Applications International,7394.0,4.8,277.0,32.5,5746.0,5166.1,-44.0,25090.0
457,Avantor,7386.1,15.5,572.6,391.1,13897.2,20629.1,-19.0,13500.0
458,Hanesbrands,7347.8,10.3,77.2,,7071.4,5191.4,-26.0,58000.0
459,Clorox,7341.0,9.2,710.0,-24.4,6334.0,17108.7,-32.0,9000.0
460,KBR,7339.0,27.3,18.0,,6199.0,7634.9,10.0,28000.0
461,TravelCenters of America,7336.8,51.4,58.5,,3508.5,637.5,79.0,16540.0
462,Hertz Global Holdings,7336.0,39.5,366.0,,19783.0,9508.9,46.0,23000.0
463,Analog Devices,7318.3,30.6,1390.4,13.9,52322.1,86441.2,18.0,24700.0
464,Securian Financial Group,7317.4,6.5,311.5,28.1,75169.4,,-43.0,6941.0
465,Darden Restaurants,7196.1,-7.8,629.3,,10656.1,16980.9,-88.0,156883.0
466,Graphic Packaging Holding,7156.0,9.1,204.0,21.9,10457.0,6154.4,-31.0,25000.0
466,NCR,7156.0,15.3,97.0,,11641.0,5474.7,-20.0,38000.0
468,Brighthouse Financial,7142.0,-16.0,108.0,,259840.0,3958.7,-115.0,1500.0
469,PPL,7127.0,-6.3,1480.0,-200.7,33223.0,21001.9,-87.0,5607.0
470,Cintas,7116.3,0.4,1111.0,26.8,8236.8,43566.7,-60.0,40000.0
471,Xerox Holdings,7038.0,0.2,455.0,-337.0,13223.0,3123.3,-56.0,23300.0
472,Rockwell Automation,6997.4,10.5,1358.1,32.7,10701.6,32538.4,-32.0,24500.0
473,Citizens Financial Group,6986.0,-9.0,2319.0,119.4,188409.0,19135.7,-92.0,17463.0
474,KLA,6918.7,19.2,2078.3,70.8,10271.1,55170.9,-6.0,11425.0
475,Camping World Holdings,6913.8,26.9,278.5,127.6,4372.9,2664.6,21.0,12834.0
476,Ingredion,6894.0,15.1,117.0,-66.4,6999.0,5814.2,-13.0,12000.0
477,Veritiv,6850.5,8.0,144.6,322.8,2438.4,2008.0,-38.0,6100.0
478,Beacon Roofing Supply,6820.4,-1.8,243.0,,5549.3,4175.9,-58.0,6676.0
479,Diamondback Energy,6797.0,141.6,2182.0,,22898.0,24320.0,302.0,870.0
480,Victoria's Secret,6784.6,,646.4,,4344.0,4330.4,0.0,24000.0
481,Academy Sports and Outdoors,6773.1,19.1,671.4,117.4,4584.9,3433.5,-6.0,16508.0
482,Sanmina,6756.6,-2.9,269.0,92.5,4206.7,2569.0,-64.0,33500.0
483,ON Semiconductor,6739.8,28.3,1009.6,331.1,9626.0,27078.7,26.0,31650.0
484,Commercial Metals,6729.8,22.9,412.9,47.7,4638.7,5056.7,8.0,11089.0
